,Food,Location,Week,Month,Amt_bought,Amt_Consumed,Wastage
1279,Burger,Ike's,5,2,6.6,2.0,4.6
1280,Parmesan cheese,Chipotle,5,2,8.6,4.2,4.4
1281,Drumsticks,Chipotle,9,3,9.0,1.1,7.9
1282,Pork,Ike's,6,2,6.8,4.1,2.7
1283,Salad,Flip kitchen,9,3,3.9,3.3,0.6
1284,Salad,Akino sushi,10,3,4.9,1.1,3.8
1285,Drumsticks,Nue Vegan,1,1,1.9,0.3,1.6
1286,Tune,Halal Guys,9,3,5.6,2.1,3.5
1287,Parmesan cheese,Southside,10,3,6.6,4.7,1.9
1288,Tune,Southside,1,1,4.0,3.5,0.5
1289,Tune,Chick-fil-a,9,3,2.0,0.1,1.9
1290,Salad,Ike's,7,2,8.5,1.0,7.5
1291,Pork,Akino sushi,4,1,8.0,0.4,7.6
1292,Salad,Southside,11,3,4.7,1.6,3.1
1293,Parmesan cheese,Chick-fil-a,10,3,5.4,0.6,4.8
1294,Chicken,Chick-fil-a,3,1,1.7,0.2,1.5
1295,Drumsticks,Southside,4,1,2.9,0.5,2.4
1296,Pork,Blaze pizza,4,1,9.9,2.9,7.0
1297,Burger,Chipotle,12,3,8.6,0.3,8.3
1298,Salad,Chipotle,10,3,3.8,3.3,0.5
1299,Salad,Globe,12,3,6.5,5.9,0.6
1300,Beef,Flip kitchen,11,3,8.0,0.9,7.1
1301,Chicken,Ike's,11,3,3.7,3.2,0.5
1302,Fries,Blaze pizza,2,1,5.8,1.7,4.1
1303,Burger,Halal Guys,2,1,4.9,4.7,0.2
1304,Salad,Southside,10,3,9.8,4.6,5.2
1305,Burger,Chick-fil-a,9,3,2.8,0.3,2.5
1306,Burger,Nue Vegan,7,2,5.7,0.9,4.8
1307,Beans,Flip kitchen,5,2,8.1,1.4,6.7
1308,Drumsticks,Globe,12,3,8.7,0.2,8.5
1309,Drumsticks,Chick-fil-a,11,3,3.8,2.4,1.4
1310,Beef,Flip kitchen,9,3,3.4,1.5,1.9
1311,Pizza,Southside,9,3,4.8,3.3,1.5
1312,Beef,Chipotle,6,2,1.8,1.5,0.3
1313,Drumsticks,Southside,11,3,6.6,6.3,0.3
1314,Salad,Akino sushi,4,1,9.3,1.7,7.6
1315,Tune,Flip kitchen,3,1,6.2,5.0,1.2
1316,Parmesan cheese,Chick-fil-a,5,2,5.4,2.5,2.9
1317,Pizza,Akino sushi,9,3,5.9,5.5,0.4
1318,Salad,Nue Vegan,4,1,3.9,0.3,3.6
1319,Fries,Southside,5,2,7.1,5.8,1.3
1320,Pizza,Nue Vegan,5,2,7.2,6.4,0.8
1321,Chicken,Nue Vegan,2,1,5.2,0.8,4.4
1322,Salad,Flip kitchen,3,1,6.9,4.1,2.8
1323,Pizza,Nue Vegan,8,2,4.6,1.1,3.5
1324,Salad,Chipotle,12,3,2.8,1.7,1.1
1325,Burger,Globe,2,1,3.3,0.1,3.2
1326,Drumsticks,Nue Vegan,6,2,4.5,1.8,2.7
1327,Salad,Southside,7,2,7.3,1.9,5.4
1328,Pork,Flip kitchen,5,2,7.8,2.9,4.9
1329,Parmesan cheese,Blaze pizza,3,1,4.4,0.9,3.5
1330,Parmesan cheese,Globe,3,1,7.4,7.0,0.4
1331,Parmesan cheese,Blaze pizza,9,3,4.3,0.9,3.4
1332,Chicken,Chick-fil-a,8,2,2.0,0.6,1.4
1333,Fries,Chick-fil-a,5,2,4.2,3.2,1.0
1334,Fries,Chipotle,12,3,9.0,5.0,4.0
1335,Pizza,Ike's,12,3,5.5,4.2,1.3
1336,Tune,Southside,10,3,9.4,6.0,3.4
1337,Burger,Southside,4,1,1.6,1.5,0.1
1338,Chicken,Akino sushi,8,2,9.8,3.3,6.5
1339,Parmesan cheese,Flip kitchen,8,2,3.9,0.1,3.8
1340,Tune,Blaze pizza,3,1,5.5,4.0,1.5
1341,Tune,Akino sushi,9,3,7.2,3.6,3.6
1342,Drumsticks,Chick-fil-a,4,1,5.5,3.0,2.5
1343,Parmesan cheese,Blaze pizza,8,2,9.6,3.6,6.0
1344,Pork,Flip kitchen,3,1,7.1,6.6,0.5
1345,Fries,Halal Guys,5,2,3.3,1.9,1.4
1346,Beef,Southside,10,3,4.4,2.9,1.5
1347,Beans,Chipotle,2,1,7.8,7.6,0.2
1348,Tune,Ike's,4,1,8.1,7.5,0.6
1349,Drumsticks,Globe,12,3,1.5,0.3,1.2
1350,Chicken,Blaze pizza,12,3,9.3,4.8,4.5
1351,Parmesan cheese,Akino sushi,8,2,7.8,2.3,5.5
1352,Chicken,Flip kitchen,9,3,5.8,4.5,1.3
1353,Pizza,Chick-fil-a,10,3,7.3,5.4,1.9
1354,Parmesan cheese,Southside,7,2,7.6,1.2,6.4
1355,Pizza,Halal Guys,2,1,1.4,1.3,0.1
1356,Pizza,Nue Vegan,11,3,9.4,4.2,5.2
1357,Pizza,Halal Guys,2,1,4.9,3.9,1.0
1358,Drumsticks,Chipotle,2,1,3.2,1.0,2.2
1359,Chicken,Blaze pizza,3,1,3.1,0.4,2.7
1360,Salad,Southside,11,3,4.2,2.9,1.3
1361,Parmesan cheese,Chick-fil-a,12,3,4.7,3.9,0.8
1362,Tune,Southside,9,3,7.1,1.8,5.3
1363,Tune,Southside,6,2,4.0,0.5,3.5
1364,Beef,Chipotle,10,3,2.6,0.9,1.7
1365,Tune,Southside,10,3,3.3,2.5,0.8
1366,Beans,Akino sushi,5,2,1.2,1.0,0.2
1367,Beans,Halal Guys,4,1,9.7,1.2,8.5
1368,Pizza,Ike's,7,2,5.2,3.9,1.3
1369,Fries,Globe,6,2,8.5,4.3,4.2
1370,Fries,Chipotle,10,3,3.1,2.1,1.0
1371,Fries,Chipotle,1,1,5.0,4.1,0.9
1372,Pizza,Flip kitchen,10,3,5.1,3.7,1.4
1373,Tune,Akino sushi,1,1,2.6,2.4,0.2
1374,Salad,Flip kitchen,2,1,8.6,0.1,8.5
1375,Burger,Globe,2,1,2.6,2.3,0.3
1376,Beef,Chipotle,6,2,8.9,1.4,7.5
1377,Beans,Flip kitchen,9,3,1.2,0.6,0.6
1378,Salad,Chipotle,3,1,7.8,6.2,1.6
1379,Drumsticks,Blaze pizza,9,3,3.3,1.0,2.3
1380,Drumsticks,Nue Vegan,11,3,8.3,1.3,7.0
1381,Salad,Halal Guys,8,2,5.5,3.2,2.3
1382,Tune,Chipotle,8,2,9.4,4.1,5.3
1383,Beef,Globe,4,1,4.5,3.2,1.3
1384,Tune,Chipotle,6,2,6.6,1.8,4.8
1385,Chicken,Southside,5,2,4.3,4.2,0.1
1386,Chicken,Flip kitchen,7,2,1.3,0.1,1.2
1387,Fries,Southside,5,2,3.8,0.3,3.5
1388,Tune,Nue Vegan,3,1,7.5,5.3,2.2
1389,Burger,Chick-fil-a,8,2,9.1,0.4,8.7
1390,Beef,Chick-fil-a,11,3,1.7,1.7,0.0
1391,Beans,Blaze pizza,12,3,8.4,4.8,3.6
1392,Salad,Southside,6,2,1.3,0.1,1.2
1393,Beans,Akino sushi,1,1,3.9,2.2,1.7
1394,Drumsticks,Globe,8,2,5.1,3.0,2.1
1395,Pork,Southside,3,1,1.9,0.3,1.6
1396,Pizza,Nue Vegan,4,1,9.9,5.8,4.1
1397,Beef,Halal Guys,12,3,6.2,1.3,4.9
1398,Beans,Ike's,7,2,6.5,4.4,2.1
1399,Pork,Nue Vegan,11,3,5.0,3.7,1.3
1400,Salad,Ike's,5,2,3.1,0.4,2.7
1401,Beef,Globe,5,2,1.2,1.2,0.0
1402,Pizza,Nue Vegan,4,1,7.5,3.5,4.0
1403,Drumsticks,Southside,2,1,9.8,7.6,2.2
1404,Beef,Chipotle,7,2,5.6,0.4,5.2
1405,Tune,Chick-fil-a,12,3,2.9,1.3,1.6
1406,Burger,Akino sushi,12,3,2.8,0.2,2.6
1407,Beans,Flip kitchen,11,3,2.4,1.7,0.7
1408,Drumsticks,Halal Guys,7,2,7.7,5.8,1.9
1409,Pork,Blaze pizza,12,3,2.1,1.3,0.8
1410,Pork,Nue Vegan,9,3,8.5,4.6,3.9
1411,Parmesan cheese,Ike's,2,1,1.0,0.1,0.9
1412,Beans,Flip kitchen,9,3,8.6,1.4,7.2
1413,Drumsticks,Blaze pizza,3,1,5.3,0.2,5.1
1414,Tune,Nue Vegan,4,1,8.1,4.9,3.2
1415,Pork,Halal Guys,5,2,1.3,1.1,0.2
1416,Drumsticks,Globe,10,3,4.2,0.4,3.8
1417,Tune,Flip kitchen,5,2,2.0,0.5,1.5
1418,Drumsticks,Flip kitchen,9,3,9.6,0.9,8.7
1419,Chicken,Southside,9,3,7.7,7.3,0.4
1420,Burger,Globe,9,3,1.9,1.5,0.4
1421,Beef,Nue Vegan,2,1,9.8,2.2,7.6
1422,Beef,Chick-fil-a,8,2,5.8,1.0,4.8
1423,Parmesan cheese,Blaze pizza,11,3,3.6,0.4,3.2
1424,Drumsticks,Nue Vegan,5,2,2.9,1.5,1.4
1425,Pizza,Globe,8,2,6.2,5.3,0.9
1426,Pork,Ike's,6,2,4.8,0.2,4.6
1427,Tune,Globe,2,1,3.4,2.8,0.6
1428,Tune,Blaze pizza,9,3,1.9,1.7,0.2
1429,Pork,Southside,3,1,6.5,5.5,1.0
1430,Beef,Nue Vegan,8,2,4.7,3.5,1.2
1431,Salad,Flip kitchen,10,3,5.2,3.0,2.2
1432,Salad,Blaze pizza,3,1,7.2,2.9,4.3
1433,Drumsticks,Blaze pizza,7,2,7.4,4.5,2.9
1434,Salad,Blaze pizza,3,1,9.2,1.0,8.2
1435,Tune,Chick-fil-a,12,3,1.8,0.1,1.7
1436,Beans,Southside,2,1,9.8,9.0,0.8
1437,Parmesan cheese,Globe,2,1,2.5,1.4,1.1
1438,Beef,Nue Vegan,8,2,2.0,1.8,0.2
1439,Pork,Globe,12,3,1.2,0.3,0.9
1440,Parmesan cheese,Globe,9,3,9.9,1.0,8.9
1441,Pizza,Southside,8,2,2.3,1.7,0.6
1442,Salad,Halal Guys,4,1,6.6,2.2,4.4
1443,Pork,Akino sushi,8,2,6.1,1.7,4.4
1444,Pizza,Chipotle,5,2,9.5,7.4,2.1
1445,Beans,Southside,8,2,4.7,0.7,4.0
1446,Fries,Halal Guys,7,2,6.5,0.1,6.4
1447,Burger,Chipotle,1,1,3.4,2.9,0.5
1448,Parmesan cheese,Nue Vegan,5,2,2.4,2.1,0.3
1449,Parmesan cheese,Halal Guys,1,1,8.2,3.4,4.8
1450,Pizza,Chick-fil-a,11,3,9.2,8.1,1.1
1451,Parmesan cheese,Chick-fil-a,6,2,9.3,4.1,5.2
1452,Pork,Nue Vegan,10,3,9.8,2.2,7.6
1453,Beans,Blaze pizza,3,1,4.7,2.6,2.1
1454,Salad,Blaze pizza,8,2,1.1,0.2,0.9
1455,Drumsticks,Globe,4,1,6.9,5.7,1.2
1456,Parmesan cheese,Nue Vegan,8,2,2.1,1.3,0.8
1457,Beef,Globe,8,2,1.6,1.4,0.2
1458,Pork,Southside,3,1,7.9,5.2,2.7
1459,Fries,Blaze pizza,2,1,2.1,1.2,0.9
1460,Pizza,Blaze pizza,11,3,3.3,0.1,3.2
1461,Chicken,Chipotle,12,3,5.6,5.2,0.4
1462,Chicken,Southside,1,1,9.9,4.7,5.2
1463,Pork,Nue Vegan,9,3,8.2,2.7,5.5
1464,Pork,Southside,1,1,8.1,2.0,6.1
1465,Beans,Globe,7,2,2.9,0.6,2.3
1466,Beans,Akino sushi,12,3,8.9,4.5,4.4
1467,Pizza,Halal Guys,2,1,3.9,1.5,2.4
1468,Pork,Globe,1,1,4.9,2.2,2.7
1469,Beans,Akino sushi,10,3,9.0,0.6,8.4
1470,Parmesan cheese,Chipotle,2,1,4.3,3.7,0.6
1471,Burger,Flip kitchen,2,1,7.6,6.2,1.4
1472,Parmesan cheese,Chick-fil-a,8,2,8.2,1.8,6.4
1473,Pork,Ike's,4,1,3.3,1.0,2.3
1474,Salad,Halal Guys,6,2,9.4,2.3,7.1
1475,Tune,Blaze pizza,12,3,3.6,2.7,0.9
1476,Chicken,Nue Vegan,1,1,1.1,0.7,0.4
1477,Pork,Blaze pizza,2,1,8.9,4.9,4.0
1478,Tune,Flip kitchen,7,2,1.3,0.2,1.1
1479,Parmesan cheese,Chick-fil-a,1,1,4.5,1.7,2.8
1480,Burger,Akino sushi,11,3,2.2,0.7,1.5
1481,Chicken,Chick-fil-a,11,3,2.2,0.9,1.3
1482,Chicken,Globe,5,2,5.3,1.0,4.3
1483,Tune,Globe,10,3,2.8,1.1,1.7
1484,Pork,Globe,3,1,3.6,1.4,2.2
1485,Tune,Halal Guys,4,1,8.2,3.9,4.3
1486,Burger,Akino sushi,5,2,7.6,7.5,0.1
1487,Drumsticks,Blaze pizza,2,1,9.0,2.8,6.2
1488,Beans,Globe,8,2,6.1,2.9,3.2
1489,Drumsticks,Globe,10,3,7.6,5.1,2.5
1490,Pork,Akino sushi,9,3,7.4,0.8,6.6
1491,Salad,Blaze pizza,8,2,5.8,3.8,2.0
1492,Parmesan cheese,Chipotle,1,1,8.3,2.5,5.8
1493,Pork,Ike's,1,1,7.7,0.4,7.3
1494,Chicken,Flip kitchen,6,2,7.4,2.0,5.4
1495,Beef,Globe,7,2,3.3,1.7,1.6
1496,Chicken,Globe,6,2,7.8,3.0,4.8
1497,Fries,Southside,4,1,9.9,1.2,8.7
1498,Chicken,Southside,1,1,7.4,2.3,5.1
1499,Drumsticks,Globe,5,2,8.8,0.9,7.9
1500,Parmesan cheese,Chipotle,8,2,9.8,9.8,0.0
1501,Pork,Halal Guys,7,2,5.3,1.7,3.6
1502,Drumsticks,Globe,2,1,6.4,2.4,4.0
1503,Pizza,Blaze pizza,2,1,4.7,3.6,1.1
1504,Parmesan cheese,Southside,11,3,3.2,2.8,0.4
1505,Parmesan cheese,Chick-fil-a,12,3,3.8,3.7,0.1
1506,Parmesan cheese,Halal Guys,12,3,9.9,3.3,6.6
1507,Burger,Halal Guys,2,1,9.4,8.8,0.6
1508,Salad,Halal Guys,12,3,4.3,1.9,2.4
1509,Tune,Ike's,10,3,1.0,0.3,0.7
1510,Parmesan cheese,Halal Guys,4,1,8.8,4.4,4.4
1511,Parmesan cheese,Blaze pizza,2,1,1.2,0.8,0.4
1512,Salad,Blaze pizza,12,3,6.2,5.4,0.8
1513,Parmesan cheese,Ike's,2,1,9.0,5.8,3.2
1514,Fries,Halal Guys,1,1,5.1,0.2,4.9
1515,Pork,Southside,6,2,5.1,4.7,0.4
1516,Salad,Akino sushi,5,2,5.4,0.3,5.1
1517,Beans,Chipotle,11,3,2.6,0.9,1.7
1518,Burger,Nue Vegan,9,3,8.4,5.5,2.9
1519,Parmesan cheese,Halal Guys,9,3,8.5,4.5,4.0
1520,Pork,Globe,2,1,3.0,0.8,2.2
1521,Burger,Nue Vegan,11,3,3.0,2.9,0.1
1522,Beans,Halal Guys,6,2,2.5,1.7,0.8
1523,Parmesan cheese,Flip kitchen,8,2,6.0,3.2,2.8
1524,Chicken,Southside,10,3,7.3,5.8,1.5
1525,Beans,Nue Vegan,2,1,3.0,0.6,2.4
1526,Parmesan cheese,Flip kitchen,3,1,7.4,4.4,3.0
1527,Beef,Flip kitchen,6,2,2.0,0.6,1.4
1528,Beef,Nue Vegan,7,2,5.2,2.5,2.7
1529,Salad,Nue Vegan,10,3,4.1,0.6,3.5
1530,Pork,Chick-fil-a,3,1,6.6,0.2,6.4
1531,Burger,Akino sushi,2,1,1.9,0.4,1.5
1532,Beans,Akino sushi,4,1,1.7,1.3,0.4
1533,Chicken,Globe,12,3,3.3,1.5,1.8
1534,Chicken,Akino sushi,5,2,3.6,3.1,0.5
1535,Beef,Flip kitchen,9,3,5.5,5.4,0.1
1536,Beans,Chick-fil-a,7,2,1.7,1.2,0.5
1537,Salad,Halal Guys,7,2,9.4,6.6,2.8
1538,Burger,Flip kitchen,4,1,9.9,6.0,3.9
1539,Tune,Blaze pizza,10,3,3.8,3.5,0.3
1540,Salad,Akino sushi,5,2,2.7,2.7,0.0
1541,Beans,Nue Vegan,7,2,9.9,3.4,6.5
1542,Tune,Southside,4,1,8.8,4.1,4.7
1543,Fries,Blaze pizza,6,2,9.1,7.6,1.5
1544,Parmesan cheese,Chipotle,10,3,7.5,3.8,3.7
1545,Salad,Ike's,7,2,9.1,6.2,2.9
1546,Fries,Halal Guys,9,3,8.9,8.2,0.7
1547,Fries,Akino sushi,3,1,1.0,0.4,0.6
1548,Pizza,Flip kitchen,12,3,6.8,4.4,2.4
1549,Tune,Globe,5,2,7.4,1.8,5.6
1550,Parmesan cheese,Ike's,1,1,1.1,0.2,0.9
1551,Pizza,Blaze pizza,2,1,5.9,3.3,2.6
1552,Burger,Akino sushi,10,3,9.6,4.4,5.2
1553,Fries,Nue Vegan,2,1,2.2,0.1,2.1
1554,Salad,Ike's,1,1,1.3,0.9,0.4
1555,Drumsticks,Ike's,3,1,7.2,1.2,6.0
1556,Fries,Halal Guys,8,2,9.7,4.0,5.7
1557,Drumsticks,Blaze pizza,12,3,7.4,4.6,2.8
1558,Pizza,Flip kitchen,2,1,8.9,4.1,4.8
1559,Pizza,Halal Guys,4,1,5.6,1.9,3.7
1560,Salad,Chipotle,5,2,8.8,0.4,8.4
1561,Pork,Ike's,6,2,8.8,0.8,8.0
1562,Parmesan cheese,Chick-fil-a,5,2,7.1,2.2,4.9
1563,Beef,Chipotle,9,3,6.3,3.9,2.4
1564,Pork,Chipotle,3,1,1.9,1.7,0.2
1565,Pizza,Nue Vegan,10,3,9.5,0.1,9.4
1566,Burger,Akino sushi,4,1,9.3,3.6,5.7
1567,Parmesan cheese,Halal Guys,4,1,9.1,3.3,5.8
1568,Chicken,Akino sushi,5,2,6.6,2.3,4.3
1569,Drumsticks,Southside,7,2,10.0,1.9,8.1
1570,Pizza,Chick-fil-a,12,3,8.0,7.5,0.5
1571,Beef,Chipotle,5,2,4.7,0.1,4.6
1572,Drumsticks,Halal Guys,12,3,3.1,3.0,0.1
1573,Salad,Akino sushi,2,1,5.0,0.7,4.3
1574,Fries,Southside,7,2,7.5,0.2,7.3
1575,Drumsticks,Chipotle,9,3,4.0,3.2,0.8
1576,Fries,Nue Vegan,5,2,5.9,4.1,1.8
1577,Salad,Chick-fil-a,4,1,6.0,3.2,2.8
1578,Tune,Ike's,5,2,6.4,4.7,1.7
1579,Pork,Ike's,11,3,7.0,3.2,3.8
1580,Pizza,Chipotle,9,3,4.7,1.4,3.3
1581,Chicken,Southside,10,3,3.4,2.2,1.2
1582,Tune,Akino sushi,8,2,3.1,0.4,2.7
1583,Tune,Chick-fil-a,8,2,4.4,0.9,3.5
1584,Drumsticks,Chipotle,8,2,9.0,5.4,3.6
1585,Drumsticks,Flip kitchen,5,2,9.9,4.6,5.3
1586,Beef,Halal Guys,8,2,9.4,5.4,4.0
1587,Fries,Chipotle,7,2,8.5,3.0,5.5
1588,Tune,Southside,2,1,7.4,1.0,6.4
1589,Fries,Southside,6,2,2.0,0.0,2.0
1590,Pork,Halal Guys,10,3,8.8,3.5,5.3
1591,Tune,Blaze pizza,12,3,5.2,2.3,2.9
1592,Fries,Akino sushi,7,2,8.4,2.1,6.3
1593,Fries,Flip kitchen,8,2,7.4,5.8,1.6
1594,Burger,Chipotle,10,3,9.4,8.9,0.5
1595,Salad,Ike's,5,2,5.8,2.7,3.1
1596,Pork,Chipotle,5,2,7.6,3.5,4.1
1597,Chicken,Chick-fil-a,1,1,10.0,5.4,4.6
1598,Pizza,Chick-fil-a,6,2,1.0,0.9,0.1
1599,Tune,Halal Guys,8,2,5.9,3.1,2.8
1600,Salad,Flip kitchen,5,2,5.8,3.5,2.3
1601,Chicken,Ike's,9,3,9.1,5.3,3.8
1602,Parmesan cheese,Ike's,1,1,9.3,5.4,3.9
1603,Chicken,Chipotle,4,1,3.3,2.9,0.4
1604,Parmesan cheese,Ike's,10,3,1.9,0.1,1.8
1605,Fries,Chipotle,2,1,2.0,0.3,1.7
1606,Chicken,Chipotle,3,1,4.7,1.7,3.0
1607,Chicken,Halal Guys,9,3,1.4,0.5,0.9
1608,Pork,Ike's,10,3,7.7,1.4,6.3
1609,Chicken,Globe,5,2,6.4,5.9,0.5
1610,Tune,Flip kitchen,5,2,7.4,4.7,2.7
1611,Chicken,Blaze pizza,2,1,4.2,2.1,2.1
1612,Chicken,Blaze pizza,11,3,4.7,1.9,2.8
1613,Beef,Chipotle,6,2,7.6,1.1,6.5
1614,Beef,Southside,2,1,8.3,3.4,4.9
1615,Beef,Chick-fil-a,9,3,7.4,0.7,6.7
1616,Beans,Ike's,4,1,6.7,2.6,4.1
1617,Tune,Blaze pizza,8,2,4.9,3.1,1.8
1618,Chicken,Nue Vegan,10,3,1.8,1.4,0.4
1619,Pork,Nue Vegan,9,3,6.0,3.2,2.8
1620,Burger,Ike's,12,3,6.0,4.3,1.7
1621,Pizza,Akino sushi,7,2,1.4,1.2,0.2
1622,Pork,Flip kitchen,1,1,1.1,0.5,0.6
1623,Pizza,Flip kitchen,7,2,3.9,2.7,1.2
1624,Salad,Flip kitchen,7,2,5.2,2.8,2.4
1625,Tune,Nue Vegan,3,1,5.4,4.2,1.2
1626,Salad,Halal Guys,1,1,6.3,4.4,1.9
1627,Tune,Globe,8,2,5.7,0.1,5.6
1628,Pork,Chick-fil-a,10,3,3.7,3.0,0.7
1629,Beef,Nue Vegan,3,1,2.4,0.9,1.5
1630,Parmesan cheese,Southside,1,1,8.2,5.0,3.2
1631,Chicken,Southside,3,1,1.9,0.1,1.8
1632,Drumsticks,Chipotle,11,3,5.7,2.9,2.8
1633,Pork,Blaze pizza,11,3,10.0,3.1,6.9
1634,Beans,Ike's,8,2,2.5,1.1,1.4
1635,Beans,Chipotle,1,1,1.2,1.0,0.2
1636,Parmesan cheese,Chick-fil-a,5,2,3.8,0.7,3.1
1637,Chicken,Chipotle,5,2,7.5,1.6,5.9
1638,Salad,Globe,7,2,7.8,1.9,5.9
1639,Burger,Globe,6,2,5.5,2.6,2.9
1640,Salad,Globe,7,2,8.7,1.6,7.1
1641,Fries,Akino sushi,9,3,8.7,0.7,8.0
1642,Fries,Chick-fil-a,9,3,8.6,7.0,1.6
1643,Tune,Chick-fil-a,3,1,5.0,0.3,4.7
1644,Salad,Nue Vegan,7,2,5.5,4.2,1.3
1645,Tune,Ike's,12,3,7.2,4.3,2.9
1646,Drumsticks,Flip kitchen,10,3,1.5,0.2,1.3
1647,Fries,Chipotle,8,2,1.1,0.9,0.2
1648,Beef,Nue Vegan,5,2,3.5,0.3,3.2
1649,Beef,Ike's,3,1,2.1,1.5,0.6
1650,Beans,Flip kitchen,11,3,7.7,4.1,3.6
1651,Beans,Akino sushi,6,2,4.9,1.4,3.5
1652,Drumsticks,Southside,12,3,8.0,0.1,7.9
1653,Pizza,Flip kitchen,2,1,4.9,1.2,3.7
1654,Burger,Akino sushi,2,1,6.9,1.9,5.0
1655,Pork,Southside,8,2,1.0,0.1,0.9
1656,Drumsticks,Blaze pizza,7,2,1.1,0.6,0.5
1657,Beef,Nue Vegan,4,1,5.1,0.1,5.0
1658,Pizza,Nue Vegan,2,1,4.8,3.9,0.9
1659,Pork,Ike's,3,1,4.5,1.7,2.8
1660,Pork,Chick-fil-a,1,1,7.8,6.1,1.7
1661,Drumsticks,Chick-fil-a,3,1,2.3,1.3,1.0
1662,Burger,Chipotle,5,2,9.5,3.3,6.2
1663,Parmesan cheese,Southside,6,2,9.8,3.5,6.3
1664,Pizza,Chick-fil-a,2,1,8.9,0.4,8.5
1665,Parmesan cheese,Ike's,2,1,4.6,2.1,2.5
1666,Beef,Nue Vegan,3,1,6.7,5.2,1.5
1667,Beans,Halal Guys,5,2,6.8,6.1,0.7
1668,Beans,Flip kitchen,7,2,9.2,1.8,7.4
1669,Beef,Chipotle,4,1,5.7,5.3,0.4
1670,Fries,Blaze pizza,9,3,3.8,3.0,0.8
1671,Parmesan cheese,Akino sushi,9,3,7.8,3.0,4.8
1672,Tune,Blaze pizza,12,3,9.9,4.4,5.5
1673,Beans,Halal Guys,8,2,3.7,0.5,3.2
1674,Fries,Southside,7,2,9.3,0.0,9.3
1675,Burger,Globe,5,2,3.8,3.7,0.1
1676,Tune,Chick-fil-a,1,1,2.9,0.2,2.7
1677,Pizza,Blaze pizza,3,1,5.4,2.1,3.3
1678,Drumsticks,Flip kitchen,3,1,9.1,5.1,4.0
1679,Salad,Chick-fil-a,6,2,8.1,4.1,4.0
1680,Tune,Globe,10,3,6.0,4.4,1.6
1681,Burger,Blaze pizza,12,3,3.3,2.3,1.0
1682,Beef,Akino sushi,4,1,3.5,2.6,0.9
1683,Parmesan cheese,Nue Vegan,10,3,3.5,1.1,2.4
1684,Pork,Ike's,5,2,5.5,0.0,5.5
1685,Chicken,Akino sushi,10,3,3.6,1.7,1.9
1686,Pork,Flip kitchen,4,1,5.0,1.5,3.5
1687,Tune,Nue Vegan,5,2,8.8,5.0,3.8
1688,Pork,Akino sushi,1,1,9.9,5.1,4.8
1689,Salad,Ike's,4,1,3.2,2.2,1.0
1690,Pizza,Flip kitchen,10,3,6.4,1.0,5.4
1691,Pizza,Globe,9,3,2.0,0.2,1.8
1692,Pizza,Ike's,8,2,5.6,2.5,3.1
1693,Chicken,Chipotle,11,3,6.6,6.3,0.3
1694,Beans,Southside,8,2,7.9,1.8,6.1
1695,Salad,Ike's,3,1,7.6,6.7,0.9
1696,Tune,Nue Vegan,2,1,3.1,0.2,2.9
1697,Beef,Southside,1,1,9.3,4.6,4.7
1698,Pizza,Nue Vegan,3,1,2.6,2.0,0.6
1699,Salad,Nue Vegan,5,2,5.8,5.4,0.4
1700,Salad,Ike's,5,2,7.9,7.5,0.4
1701,Pizza,Globe,4,1,9.6,0.8,8.8
1702,Drumsticks,Nue Vegan,7,2,2.4,0.5,1.9
1703,Fries,Ike's,1,1,1.3,1.2,0.1
1704,Pork,Ike's,6,2,2.8,0.9,1.9
1705,Pork,Nue Vegan,10,3,3.4,0.3,3.1
1706,Parmesan cheese,Ike's,9,3,7.9,6.8,1.1
1707,Beans,Southside,5,2,7.0,6.3,0.7
1708,Pork,Southside,10,3,1.9,1.8,0.1
1709,Salad,Nue Vegan,7,2,9.6,5.5,4.1
1710,Pork,Halal Guys,7,2,3.2,0.3,2.9
1711,Salad,Flip kitchen,7,2,4.1,3.1,1.0
1712,Beef,Akino sushi,3,1,8.7,8.4,0.3
1713,Pork,Flip kitchen,3,1,6.8,1.9,4.9
1714,Burger,Ike's,11,3,5.6,1.1,4.5
1715,Fries,Blaze pizza,12,3,8.2,3.6,4.6
1716,Burger,Flip kitchen,7,2,2.7,2.2,0.5
1717,Beans,Blaze pizza,1,1,5.0,3.9,1.1
1718,Salad,Akino sushi,6,2,2.5,0.0,2.5
1719,Drumsticks,Ike's,11,3,8.9,8.7,0.2
1720,Salad,Akino sushi,4,1,2.4,0.1,2.3
1721,Pork,Chick-fil-a,4,1,4.8,4.5,0.3
1722,Chicken,Blaze pizza,11,3,7.2,0.4,6.8
1723,Parmesan cheese,Blaze pizza,4,1,6.1,0.7,5.4
1724,Fries,Southside,9,3,1.4,1.3,0.1
1725,Burger,Chipotle,8,2,7.6,2.5,5.1
1726,Tune,Chipotle,6,2,9.3,7.4,1.9
1727,Fries,Halal Guys,10,3,5.0,2.1,2.9
1728,Beef,Chipotle,7,2,8.4,6.0,2.4
1729,Salad,Ike's,8,2,1.6,1.4,0.2
1730,Tune,Flip kitchen,5,2,6.7,3.9,2.8
1731,Pizza,Southside,1,1,1.8,1.7,0.1
1732,Tune,Chipotle,5,2,4.9,3.5,1.4
1733,Pork,Halal Guys,12,3,7.0,4.3,2.7
1734,Parmesan cheese,Ike's,4,1,1.3,0.7,0.6
1735,Burger,Akino sushi,6,2,5.9,1.5,4.4
